ID	D55_H041_T1_20190110	D55_H041_T1_20180201	D60_H041_T1_20180208	D6_H041_T1_20180131	D55_PMN_H041_T0_20180201	D55_PMN_H041_T0_20190110	D60_PMN_H041_T0_20180208	D60_PMN_H041_T0_20181212	D6_PMN_H041_T0_20180131	D55_PMN_H041_T1_20180201	D55_PMN_H041_T1_20190110	D60_PMN_H041_T1_20181212	D6_PMN_H041_T1_20180131
H041_1975	2547	7375	2680	6226	717	582	917	560	516	244	856	1365	359
H041_1976	6067	11457	5979	8726	2316	2476	3681	2483	2549	795	2195	3464	1089
H041_1977	1264	1713	1063	1715	378	466	704	331	275	70	277	350	140
H041_1978	652	1136	616	955	534	498	726	603	420	145	333	449	159
H041_1979	32	54	36	31	18	8	13	4	5	0	3	9	10
H041_198	3135	6738	3979	5969	2656	2493	3581	2496	1729	463	1613	2625	709
H041_1980	7791	13487	7696	12232	7346	7016	17218	3829	5669	2719	4408	4531	3645
H041_1981	123305	172861	123676	165384	65130	66670	136078	89071	70743	15650	49313	83898	24690
H041_1982	110178	133915	88031	126719	66574	72359	114066	111303	70673	22996	52239	87275	32961
H041_1983	19942	15886	15424	14623	7448	8284	17387	10469	7793	2044	5665	8078	3205
H041_1984	17633	27512	15894	26430	10722	20094	25203	15517	13119	3231	12782	16389	4782
H041_1985	116	205	94	142	82	65	120	50	66	22	57	63	10
H041_1986	0	4	1	0	4	4	3	5	2	1	0	1	2
H041_1987	16	62	46	28	5	24	21	12	13	2	6	22	3
H041_1988	12	62	40	26	2	9	7	3	5	0	7	5	0
H041_1989	45473	93346	43133	63223	73165	65316	91617	97277	78701	15123	26014	44603	23506
H041_199	11825	13128	8661	12243	4948	6087	8289	7088	3385	1197	4006	6594	1388
H041_1990	49877	87899	43802	60656	65720	60100	77079	104447	80279	16675	32164	56154	26003
H041_1991	65	146	73	60	28	10	36	4	13	3	7	10	4
H041_1992	31507	35907	19481	20288	5582	12054	24773	16576	10728	1484	9534	12478	1977
H041_1993	24710	43976	26011	27261	22854	29981	56877	40063	30425	6596	20320	27436	8568
H041_1994	39436	67445	38958	46712	22223	26780	49957	31443	30449	6348	18909	29814	9151
H041_1995	19682	50316	16076	39756	18275	15970	21626	17206	23527	5013	11922	18304	7653
H041_1996	5160	12023	7149	8642	5427	4691	8886	4501	5773	1091	2979	4024	1813
H041_1997	718	1427	873	1158	1738	2159	3252	1061	1593	322	1392	1373	631
H041_1999	189437	321651	178572	323748	108354	132302	218509	160469	137183	25110	91290	156022	39262
